SampleID,Eas_X,Nor_Y,0-5_NO3_mg_kg,0-5_LOI_g_kg,0-5_Soil_pH_(1:2),5-10_NO3_mg_kg,5-10_LOI_g_kg,5-10_Soil_pH_(1:2),10-20_NO3_mg_kg,10-20_LOI_g_kg,10-20_Soil_pH_(1:2),20-40_NO3_mg_kg,20-40_LOI_g_kg,20-40_Soil_pH_(1:2),40-60_NO3_mg_kg,40-60_LOI_g_kg,40-60_Soil_pH_(1:2),60-90_NO3_mg_kg,60-90_LOI_g_kg,60-90_Soil_pH_(1:2),Soil_Series,Soil_Drainage_Type
P5-80,269935.5805,3700534.154,25.76238171,149.1755963,4.6845,16.32118908,81.36630599,5.6035,19.15020194,76.232068,5.6765,14.23947696,92.63681592,5.719,1.98411158,67.00687819,6.437,0.472017029,60.5066727,6.008,Helena,MWD
P6-81,269946.7885,3700390,20.87844604,99.72890974,5.023,13.7403076,49.52875553,5.551,4.496099079,43.02395026,6.3655,0.642253939,28.72307212,7.101,0.227592535,24.56072226,7.263,0.608855521,34.09969088,7.558,Iredell,MWD
P6-82,269968.8873,3700400,22.72192573,63.45374955,4.7005,19.75030855,35.93807373,5.3605,10.25903894,27.63510855,6.085,2.266026765,52.45064336,6.871,0.287492501,47.86273329,7.342,,,,Iredell,MWD
P6-83,269990.2883,3700420,22.77933002,53.62084095,4.6765,22.58298801,38.26577948,5.1125,13.35288098,22.15379007,5.769,5.160298009,23.38284619,6.426,,,,0.004227358,58.43485443,6.523,Helena,MWD
P6-84,270001.3375,3700440,22.10424225,73.13029057,5.4255,6.658572644,49.45720838,6.1295,7.65695763,29.09304258,6.313,3.88659482,32.52564942,6.716,1.654256401,40.72641307,6.961,0.260667655,58.72465595,6.874,Helena,MWD
P6-85,269934.5741,3700410,24.55697503,98.13401951,4.3505,23.15587572,43.9610842,5.4935,15.19364869,25.28390801,6.2965,,,,,,,1.280338651,37.99833887,7.391,Iredell,MWD
P6-86,269956.673,3700420,22.31790326,78.53273058,4.7005,22.24674914,47.05054743,5.451,11.54409534,29.95708513,6.356,,,,0.279939608,26.89233662,7.204,0.008773986,22.44312359,7.292,Iredell,MWD
P6-87,269978.0739,3700430,22.23162113,58.3016188,4.9825,22.51300354,40.31141102,5.551,17.29932169,27.30651639,5.991,4.271510586,24.49799197,6.618,0.519709328,57.56358768,7.043,0.174947014,27.61555974,7.283,Helena,MWD
P6-88,269989.1231,3700460,23.44408749,91.24435715,5.122,19.13716426,56.07632096,5.8085,4.567455686,62.82118511,6.838,,,,,,,0.364923722,61.50939435,7.511,Helena,MWD
P6-89,270002.6149,3700470,23.19676193,74.80655742,5.4025,5.045114392,44.84561233,5.998,4.21329806,27.5095757,6.126,,,,,,,,,,Helena,MWD
P6-90,269922.3598,3700430,11.2440855,70.75913777,5.913,15.37637101,31.63078344,6.0385,3.771516563,37.45741465,6.6745,,,,,,,0.317837045,43.02670623,7.57,Iredell,MWD
P6-91,269944.4586,3700440,21.26661155,108.3336069,5.1525,9.489820645,52.02401231,5.961,3.588510735,50.53550704,6.578,1.094386307,73.33666833,7.013,1.115044146,61.8729097,7.039,0.793627563,40.74650078,8.123,Iredell,MWD
P6-92,269965.8596,3700450,20.24400006,69.27158167,5.0065,17.12500354,80.81595689,5.991,4.459981921,58.67756219,6.911,,69.81852913,,0.1395653,60.79724692,7.976,0.701950622,60.82508618,7.962,Helena,MWD
P6-93,269976.9088,3700470,21.21335429,66.27216874,4.832,21.1513346,47.84058244,5.649,15.90415767,39.83072133,6.2345,15.56338961,42.21723594,6.611,0.587485043,54.17033343,7.367,,,,Helena,MWD
P6-94,269910.1455,3700450,19.08390446,93.84676381,5.1535,19.47867739,62.69534748,5.622,5.091485778,48.71979307,6.6985,1.51284639,102.9883156,7.289,0.37621613,91.98782962,7.303,0.446433822,72.68856448,7.04,Iredell,MWD
P6-95,269932.2443,3700450,21.95266216,121.428266,4.712,19.83403216,65.71794082,5.7805,9.323993344,44.47830745,6.621,7.2138072,48.42214175,6.86,0.574728043,55.34680613,7.171,0.313732474,43.22158971,7.211,Iredell,MWD
P6-96,269953.6452,3700470,18.76641393,77.31791233,5.1825,19.94402039,48.54713465,5.4295,11.13875366,41.29395672,5.893,4.30947671,64.88355538,6.731,0.80600236,86.96911197,7.265,0.287745898,56.89155048,7.253,Helena,MWD
P7-97,269725.769,3700479.515,19.96073927,71.94976866,4.8545,20.48113092,56.09222984,4.993,12.08962232,55.48997944,5.5055,0.397361863,66.44705126,6.38,0.293353376,86.23619371,6.632,0.545225128,99.56348101,5.877,Cecil,WD
P7-98,269737.3328,3700457.349,20.83759195,116.10467,5.1685,18.90918607,68.61977931,5.1575,9.705305624,65.39858559,5.482,0.084277653,90.43874172,6.218,0.1666301,101.9298433,6.176,0.20370688,101.9511697,5.684,Cecil,WD
P7-99,269744.9743,3700502.721,19.24421936,121.4461489,4.864,,82.89110988,,4.090592393,60.45990291,5.5595,0.551379064,90.47551253,5.971,0.817498864,65.56141673,5.834,0.375267411,85.95408065,5.538,Cecil,WD
P7-100,269753.6012,3700486.747,20.3369934,82.15217462,4.8485,19.13009454,66.29549854,4.948,6.215530972,62.31001476,5.519,0.602382066,74.19945105,5.9,0.597019517,96.59033079,6.299,0.813083816,97.45272096,5.971,Cecil,WD
P7-101,269762.1488,3700470.296,18.36824795,116.1760717,4.493,20.11670134,86.2009433,4.899,11.78856769,79.5211849,5.0805,3.85186222,109.3512032,5.85,1.588555454,113.7130802,6.409,1.004493656,105.4838169,6.753,Cecil,WD
P7-102,269763.8372,3700527.574,19.70014742,148.0043268,5.0905,17.06977378,110.3020062,5.278,1.458962823,103.7001762,5.9025,0.268166393,112.8730425,5.974,0.161072657,104.7529706,5.812,0.167512022,105.4676119,5.637,Cecil,WD
P7-103,269775.401,3700505.408,20.2277383,92.58096059,5.211,17.12131235,68.77716842,5.4845,3.035388565,66.79175859,6.0725,1.751916212,78.67607162,6.545,0.267441142,93.19918299,6.587,0.448234783,98.78714934,6.356,Cecil,WD
P7-104,269786.9648,3700483.242,18.82307473,125.3314823,4.8065,20.40868717,77.06730181,4.9045,11.72070791,73.20192247,5.3125,0.961524513,83.19928508,6.038,0.227146352,101.0386206,6.51,0.181811457,104.8062866,6.231,Cecil,WD
P7-105,269785.2135,3700546.341,18.75928393,102.1754081,4.64,20.21176505,80.07840033,5.2125,4.388094457,79.92219582,5.839,0.788320499,102.1033717,6.206,0.206251937,110.5892778,6.361,0.530100096,106.673209,5.897,Cecil,WD
P7-106,269796.7773,3700524.175,19.34849841,99.79588153,4.735,20.58384082,70.96657585,4.429,7.556717685,64.41295175,5.256,0.563449336,76.13099257,6.18,0.261615674,88.14066592,6.548,0.318548275,98.95150721,6.308,Cecil,WD
P7-107,269808.3412,3700502.009,19.33961842,113.3673326,4.734,11.85944843,81.81968021,5.3135,4.691004058,78.29111101,5.9565,0.821625338,95.81355201,6.316,0.528411369,105.3525913,6.465,0.437524053,107.1582393,5.981,Cecil,WD
P7-108,269803.2282,3700570.447,20.37404888,101.63913,5.035,10.85980588,66.34134459,5.1695,3.181731641,84.85587578,5.8685,0.704746117,89.77624159,6.643,0.132499368,89.3810032,6.345,0.02632483,89.2472014,5.648,Cecil,WD
P7-109,269812.4108,3700552.937,18.93371386,101.0431998,4.9135,21.16577866,68.57720401,5.2545,6.611459753,75.91565102,6.002,0.266041744,101.498445,6.887,0.008669188,113.9138818,6.791,0.002235294,106.9755106,5.626,Cecil,WD
P7-110,269821.7256,3700534.277,18.61628614,88.64911279,5.14,17.28740236,67.05686956,5.5755,8.805708979,63.24375061,6.2545,,101.9325202,,0.062675317,110.4990545,7.067,0.335674675,114.9570719,6.392,Cecil,WD
P7-111,269831.6358,3700513.765,18.78333687,98.28729749,4.763,20.98271732,54.87621576,5.1705,8.595924139,52.63207381,5.826,0.833047008,85.19140094,6.48,0.37785597,106.0853584,6.79,0.235795974,106.7602512,5.617,Cecil,WD
P8-112,269753.8483,3700416.602,24.28953012,83.28428038,4.545,23.58231924,52.48488421,4.791,19.51945332,43.62230163,5.2355,5.842942521,43.08390023,5.949,2.116501442,36.34521624,6.118,1.355649985,30.55096179,6.384,Cecil,WD
P8-113,269779.2579,3700420.951,25.97612635,87.11761644,4.437,23.82504006,56.61637068,4.651,9.229489896,39.5264984,5.231,4.900904064,28.42859275,5.771,2.560957816,27.99113737,6.282,0.464111922,36.73742022,6.3,Cecil,WD
P8-114,269804.6675,3700425.3,21.47767114,83.48263003,4.402,22.47424716,54.05169841,4.693,15.43655603,44.99340473,5.152,11.97446182,33.23586745,5.073,6.086442546,32.31719082,5.687,,,,Cecil,WD
P8-115,269830.077,3700429.648,20.29664327,79.38800245,4.4845,23.1592902,53.24670651,4.6585,5.934737698,45.95539708,5.749,2.738586924,53.00420972,6.141,0.503769352,68.6064888,6.393,0.003172202,70.46186896,6.578,Cecil,WD
P8-116,269855.4866,3700433.997,24.98343621,146.108481,4.3815,21.54104182,79.37337076,5.1855,15.33355072,98.10300153,5.6365,24.15588207,73.73068433,5.325,24.93796623,64.87549148,5.109,11.88800197,92.41682486,5.924,Cecil,WD
P8-117,269750.4959,3700436.191,23.46837977,143.347204,4.4395,24.58193463,92.17342016,5.1585,6.017948822,76.15998576,5.9975,1.480070448,99.82139313,6.288,0.152489402,107.4430503,5.971,0.358568585,102.2236973,5.567,Cecil,WD
P8-118,269775.9055,3700440.54,18.08873771,123.3111114,4.702,21.67711714,82.94938037,5.006,17.97573471,78.05807863,5.351,5.427816091,103.5933959,5.788,4.137732813,101.9839501,5.749,2.943231997,95.05180799,5.522,Cecil,WD
P8-119,269801.3151,3700444.888,26.86299716,81.61945474,4.4375,25.00554173,53.21034951,5.2285,4.33693773,46.89874523,6.1555,1.082481672,97.96813889,6.674,0.44190681,69.56815876,6.981,1.080215533,101.8106263,7.028,Cecil,WD
P8-120,269826.7246,3700449.237,27.32907972,136.1108749,4.551,24.37073374,80.0638566,5.1065,8.603510763,89.85264577,5.8585,3.352356393,113.9218114,6.385,2.502136841,120.8673668,6.685,0.114406127,120.8988764,6.564,Cecil,WD
P8-121,269852.1342,3700453.585,25.84038437,79.83012644,4.6655,19.96241267,54.49469283,4.9775,19.0458913,66.81111256,5.588,1.520631283,88.74500095,6.477,3.403327514,80.16730568,6.61,1.553596776,69.6001856,6.534,Cecil,WD
P8-122,269772.5531,3700460.128,21.81425545,97.37098813,4.633,21.60142973,70.82975412,5.4655,8.577609715,75.00018037,5.8685,1.220666024,63.84822804,6.326,0.29200192,72.72540773,6.485,0.205545169,80.41490074,6.486,Cecil,WD
P8-123,269797.9626,3700464.477,23.667877,75.63354569,4.657,23.85774042,46.25625665,4.8635,5.390011528,51.36846308,5.8925,0.311084621,87.55083597,6.433,0.270199938,89.21660914,6.693,0.329111099,88.25254105,6.09,Cecil,WD
P8-124,269823.3722,3700468.825,22.48920748,99.80224911,4.5685,24.45145803,57.45707877,4.8615,12.65477444,74.35497135,5.451,1.803094211,84.61060481,6.108,1.301141722,83.12833128,6.102,0.726424476,79.73979645,5.751,Cecil,WD
P8-125,269848.7818,3700473.174,25.95012443,75.57239818,4.442,6.124489048,46.08281499,5.447,1.260462693,66.39162207,5.9955,8.999561058,79.7821447,5.968,1.958264869,76.86895339,6.678,0.751175762,73.8286796,5.622,Cecil,WD
P8-126,269796.2242,3700476.895,24.38215249,78.13735075,4.2695,23.86521177,47.48804359,4.7075,13.13142569,46.31679095,5.118,2.283654263,73.46098783,5.628,0.574811601,92.56329114,6.222,0.847311967,101.6014424,6.492,Cecil,WD
P8-127,269820.0198,3700488.414,20.38718377,85.25499717,4.964,23.12092221,47.80260173,5.1745,19.73812696,42.46912144,5.4365,4.265565237,79.76608187,6.211,0.234589631,99.42290169,6.472,0.013501346,102.627548,6.508,Cecil,WD
P8-128,269841.3283,3700493.887,23.45229224,99.95636234,4.6875,22.3632987,42.72087445,5.031,14.99277383,29.86179038,5.623,4.49538898,78.86685552,6.413,3.720337839,99.13899139,6.607,1.234509227,,6.9,Cecil,WD
P9-129,269822.137,3700308.321,22.7190579,60.69500994,5.5175,10.81411992,29.30064646,6.089,3.400185362,21.01419878,6.2725,1.453467765,30.3030303,7.116,1.226655612,43.26973204,7.424,0.748902101,33.97385103,7.288,Iredell,MWD
P9-130,269819.7665,3700329.896,10.09426543,60.62866276,5.0675,10.4862488,36.93881519,5.46,2.369894348,23.5877347,5.921,0.589380652,61.33126635,6.681,,,,,,,Iredell,MWD
P9-131,269842.355,3700332.378,10.76462979,51.37807038,5.3025,2.610595593,27.28615719,5.3015,0.61018871,25.81571459,5.99,0.119800875,,7.231,0.173214834,37.06806283,7.247,0.484776695,85.06389776,7.337,Iredell,MWD
P9-132,269864.9436,3700334.86,9.465237104,44.73133921,5.5975,3.78063958,33.57623835,6.0675,2.185713011,67.22770362,6.7045,3.831830436,19.80292739,,0.95845157,43.93284407,7.485,0.021370672,23.30256785,7.501,Iredell,MWD
P9-133,269794.8074,3700348.99,29.825253,53.08038708,4.9035,9.950294871,28.63762743,5.2395,2.393690671,27.49976616,6.258,0.117339145,83.32490646,6.633,0.130544356,80.85194376,,,84.43571724,,Iredell,MWD
P9-134,269817.396,3700351.472,,,,,,,,,,2.321796507,37.29170037,5.981,2.442966486,43.44073648,,,,,Iredell,MWD
P9-135,269839.9845,3700353.954,9.746429985,62.3839795,5.044,9.62073648,31.09046007,5.2995,0.911627661,31.96067759,6.233,0.048365132,61.51067672,6.885,0.095043161,50.39123631,7.325,0.005623863,42.84430241,7.573,Iredell,MWD
P9-136,269862.5731,3700356.436,9.246749935,52.44918985,5.015,8.215615454,26.68987525,5.08,1.885680048,21.03674774,6.0345,0.857076137,23.443505,6.48,1.698642768,24.65277778,,0.779425882,27.46807217,6.992,Iredell,MWD
P9-137,269792.4369,3700370.566,11.25418655,90.96658579,5.1,7.249998748,49.29663997,5.1095,1.564276476,28.00705848,5.838,1.1776362,78.36696387,6.159,0.651805305,100.3021148,6.481,0.577570358,98.73060649,6.62,Iredell,MWD
P9-138,269815.0254,3700373.047,11.12399439,52.1066303,4.341,7.608800866,26.9945147,4.7805,1.820443261,19.92215632,5.2575,1.508319131,52.97317935,5.543,0.725477857,65.91710758,6.004,1.541010333,68.2005778,,Iredell,MWD
P9-139,269837.614,3700375.529,10.91169365,71.43697391,4.9345,4.788716517,38.97438069,5.165,1.377845557,40.04372019,5.625,1.972230449,27.68297308,,0.005705821,64.19568468,,0.012934878,57.96943231,5.949,Iredell,MWD
P9-140,269860.2025,3700378.011,9.991349155,50.49916805,4.864,12.59853708,35.4719907,5.506,4.230034344,23.62280031,6.094,3.432572808,24.08679208,,0.575687452,35.85507791,,0.6319477,34.45838487,7.376,Iredell,MWD
P9-141,269773.9733,3700387.979,10.49693406,91.75215429,5.121,4.652900228,61.02577017,5.731,1.363785921,97.02529886,6.369,0.526979875,105.3272166,6.362,0.271069973,102.9297633,6.519,0.419539909,95.52412323,6.594,Iredell,MWD
P9-142,269790.0663,3700392.141,9.602740328,73.36448598,4.7965,9.540596422,34.83825098,4.82,1.606736665,,5.372,2.042023479,41.38760089,5.971,0.895880839,46.89951284,6.354,0.86494959,53.10996257,6.343,Iredell,MWD
P9-143,269812.6549,3700394.623,9.907834724,71.6170595,4.346,11.23647181,38.77518382,4.3155,2.874917029,24.82853286,4.814,1.846875514,46.61551908,4.888,1.531939322,72.96088104,5.587,0.516270256,64.29476351,6.446,Iredell,MWD
P9-144,269835.2434,3700397.105,10.98789652,66.51378292,5.4395,5.507727035,35.28618525,5.4055,1.281677605,34.56559909,5.9735,0.34549126,102.6217228,6.532,0.361614137,97.27782226,6.62,0.28719644,79.93329628,6.912,Iredell,MWD
P9-145,269857.832,3700399.587,10.27057369,53.78381004,4.444,4.425415151,28.13631545,5.1385,1.934888815,25.19506459,5.82,1.67084866,53.09025343,6.422,2.021665011,94.60983311,6.848,,,,Iredell,MWD
P10-146,269765.1809,3700276.331,8.375051683,48.01950542,5.092,0.132441832,24.97101739,5.156,0.037067655,36.82673048,5.6855,0.017095686,43.7687615,5.556,0.003157128,59.62489503,5.644,0.01083589,58.00176835,5.228,Iredell,MWD
P10-147,269785.3397,3700287.75,9.738837521,57.31875321,5.1235,3.834909948,34.64593628,5.3445,0.70804389,28.72784672,5.7885,0.142283586,49.54304954,6.334,11.10149924,38.7902207,6.549,6.488246593,40.55778345,6.578,Iredell,MWD
P10-148,269806.0277,3700298.773,6.458440302,55.76187253,5.6425,1.694750049,30.51871611,5.888,0.511311291,30.46044855,6.4735,,,,0.096167952,34.43877551,7.266,0.034867975,20.24845936,7.212,Iredell,MWD
P10-149,269754.5904,3700294.203,10.08414282,116.0582087,4.993,2.38845319,76.37179838,5.5175,0.605408474,74.91365205,5.5455,0.087732187,85.71968623,5.882,0.100667032,52.24414682,5.643,0.003374373,66.56394453,6.114,Prosperity,MWD
P10-150,269774.0878,3700306.284,18.02148207,83.16782921,4.919,4.262463936,50.12742837,5.3425,0.334973129,94.71689281,5.928,0.375673773,100.8572869,5.937,0.096730305,95.89156424,5.773,0.01023543,83.68766911,5.796,Prosperity,MWD
P10-151,269793.5852,3700318.364,22.57221331,76.52451176,4.8725,3.02869578,34.76946334,5.2955,0.741260819,31.08373005,5.904,0.213144243,42.69719251,6.196,,,,0.220599408,33.57857008,6.84,Iredell,MWD
P10-152,269741.2219,3700315.779,10.61419122,107.4071572,5.0015,3.402716267,69.58755011,6.0305,0.415603182,89.13304702,6.5725,0.519644545,85.72008938,7.006,,,,0.008435723,52.9766588,7.129,Prosperity,MWD
P10-153,269760.7192,3700327.86,10.51211849,95.04213788,5.203,3.589147102,63.88764068,6.162,5.911801235,61.49457732,6.7135,0.494899563,36.66861713,7.309,0.163654279,25.32860021,7.329,,,,Prosperity,MWD
P10-154,269780.2166,3700339.941,11.00701814,74.76117191,5.1695,2.809117847,47.7189119,5.6205,0.988955679,84.85355049,6.379,0.282317715,95.33024821,6.807,0.411104102,86.0149147,6.756,0.008660748,45.20661921,6.736,Prosperity,MWD
P10-155,269727.8533,3700337.355,34.29345556,63.13607237,4.7095,7.365056709,51.01379502,4.7785,17.83760826,51.59665231,4.956,0.987549711,79.5611781,6.442,,,,0.146220312,33.41679507,6.504,Prosperity,MWD
P10-156,269747.3507,3700349.436,12.77899849,98.36220771,5.346,11.96985122,76.51473549,5.6235,0.360900977,95.66582367,6.1075,0.087728267,94.11529623,6.104,,,,,,,Iredell,MWD
P10-157,269766.848,3700361.517,25.84965121,54.71433032,4.7185,9.019631501,35.77298656,5.3025,2.004805346,32.47911386,5.9765,0.817709124,58.07307614,6.552,0.39310774,70.39027398,6.758,0.91837624,71.13878668,6.617,Iredell,MWD
P10-158,269714.4847,3700358.931,21.923117,54.24505778,5.6535,9.021128269,41.9508549,5.586,13.88659193,33.98243604,5.8435,0.12147533,48.1616239,6.317,0.527517998,80.18623901,6.591,0.339118653,81.94622279,5.85,Cecil,WD
P10-159,269733.9821,3700371.012,26.99877165,65.68097811,,3.571558844,46.11032532,,5.433779321,38.69189086,,1.542624669,37.57575758,,0.65574199,41.41219777,,0.584318936,38.0979662,,Cecil,WD
P10-160,269753.4794,3700383.093,10.22951941,45.06338484,,6.376894298,29.22015712,,2.642089237,22.62402326,,2.502055108,37.29320497,,0.900379919,49.70197157,,0.970115786,48.2260059,,Cecil,WD
